vertex_no,x,y,z
11677,-9.53585433959961,-48.915523529052734,30.57294464111328
13282,-19.16160011291504,-42.70677947998047,67.06404113769531
26587,-3.7380878925323486,32.54617691040039,50.40748596191406
11802,-23.357162475585938,-83.3464584350586,16.882991790771484
14873,-48.63702392578125,-55.075157165527344,46.70106887817383
29687,-61.163551330566406,-40.12873458862305,-8.691113471984863
15345,-43.70180130004883,-17.79549789428711,17.106443405151367
8374,-40.49260330200195,4.518214225769043,-22.024490356445312
998,-6.010979175567627,-32.44801330566406,27.409080505371094
226,-13.504071235656738,-55.23928451538086,7.533821105957031
399,-21.001977920532227,-52.80878829956055,-0.37626099586486816
22994,-16.74484634399414,-64.87874603271484,-4.4400811195373535
155,-4.976614952087402,-46.47366714477539,17.22466278076172
343,-12.653080940246582,-39.640899658203125,0.6146150231361389
3042,-7.317265033721924,-7.626204967498779,48.69767379760742
1500,-10.907175064086914,26.884374618530273,29.97821807861328
25828,-10.411626815795898,46.69770812988281,6.176280975341797
1104,-1.8269569873809814,-18.304197311401367,32.192298889160156
1273,-1.8828710317611694,-5.427218914031982,34.397029876708984
1445,-2.162653923034668,6.123050212860107,31.72510528564453
1609,-3.6266698837280273,20.707311630249023,23.97312355041504
1676,-9.691186904907227,-45.76057052612305,40.794921875
11216,-5.775322914123535,-53.31087875366211,54.033817291259766
3647,-15.060784339904785,-32.595481872558594,69.84188842773438
2641,-3.420012950897217,-31.08902931213379,62.66423797607422
3177,-9.225479125976562,-5.4626688957214355,65.48902130126953
2020,-13.851874351501465,-44.0282096862793,59.830078125
2146,-7.148294925689697,-36.27638244628906,43.22661590576172
2507,-14.868453979492188,-30.809871673583984,42.000404357910156
3468,-36.84599304199219,-14.67746353149414,51.441951751708984
6603,-43.76288604736328,-12.762800216674805,37.11842346191406
28144,-48.726829528808594,1.559183955192566,47.70511245727539
27450,-21.11558723449707,14.769365310668945,49.765235900878906
4944,-14.153912544250488,18.956979751586914,60.871681213378906
3718,-31.056686401367188,-24.73578453063965,62.7614860534668
4115,-14.598180770874023,-25.809457778930664,69.4042739868164
4221,-30.262624740600586,-7.795399188995361,45.956581115722656
4356,-22.056007385253906,-12.936822891235352,61.85190200805664
4683,-19.821422576904297,-1.2815940380096436,59.32986068725586
13246,-23.540660858154297,-44.31830596923828,59.513729095458984
5210,-34.29742431640625,-42.748104095458984,51.985633850097656
16226,-56.098052978515625,-12.921703338623047,42.65436553955078
5913,-46.39167785644531,-28.824901580810547,36.285919189453125
5741,-41.11225509643555,-32.78535842895508,46.950931549072266
5960,-35.93244552612305,-30.842905044555664,64.25066375732422
6196,-44.462093353271484,-21.859771728515625,58.065406799316406
6335,-49.11777114868164,-16.728147506713867,51.62140655517578
14768,-47.39082717895508,-60.430599212646484,34.56821823120117
14280,-49.87439727783203,-57.674312591552734,13.800607681274414
15053,-55.41737747192383,-43.902347564697266,44.72697448730469
15215,-58.95550537109375,-37.2856330871582,38.60736846923828
15228,-53.34693908691406,-33.03742599487305,23.964521408081055
29605,-48.755069732666016,-32.695472717285156,-4.871262073516846
29258,-61.03410720825195,-21.072887420654297,-0.7536579966545105
8111,-53.17416763305664,-30.488115310668945,10.387590408325195
28313,-32.56775665283203,-26.959911346435547,10.116898536682129
7220,-50.697166442871094,-50.212772369384766,16.41857147216797
7094,-56.25566864013672,-44.628597259521484,1.7404320240020752
7473,-59.47959899902344,-51.36419677734375,28.516464233398438
7673,-62.61264419555664,-48.52850341796875,18.99797821044922
8180,-41.773399353027344,-38.28739929199219,14.170722007751465
8519,-37.93028259277344,-15.17724609375,-5.000837802886963
8635,-38.101810455322266,-8.621099472045898,-8.308574676513672
16628,-46.74515914916992,34.257320404052734,9.235068321228027
9511,-37.259029388427734,16.434947967529297,7.847955226898193
16599,-43.54319381713867,-1.7129720449447632,12.772004127502441
9733,-45.49286651611328,26.606678009033203,-11.283079147338867
18331,-37.04676055908203,22.457555770874023,-18.084901809692383
18239,-33.03732681274414,7.663893222808838,-14.58828353881836
8822,-36.79375457763672,-10.404796600341797,9.35453987121582
9068,-35.35832595825195,6.963575839996338,3.9877851009368896
9393,-28.744592666625977,26.194190979003906,2.6704978942871094
9908,-50.07712936401367,37.887447357177734,-4.921175003051758
12755,-19.82914924621582,-65.331298828125,47.177490234375
11573,-9.972367286682129,-54.914894104003906,34.994667053222656
24279,-14.746795654296875,-62.06565475463867,22.63529396057129
23912,-9.654927253723145,-78.67255401611328,28.14653968811035
23391,-6.390636920928955,-91.8081283569336,22.378009796142578
10685,-12.712529182434082,-59.014801025390625,59.48225021362305
10746,-15.994549751281738,-86.43917846679688,40.329383850097656
10920,-10.305314064025879,-76.15119934082031,45.85546112060547
11206,-5.328888893127441,-63.56053161621094,45.7811279296875
11227,-11.636897087097168,-68.76683044433594,38.53709030151367
11703,-31.37237548828125,-84.23638916015625,28.02471923828125
14447,-41.24105453491211,-74.5114974975586,35.42075729370117
12220,-29.827760696411133,-69.96427917480469,40.658851623535156
12490,-32.40695571899414,-56.00181198120117,39.06485366821289
13042,-33.58956527709961,-53.183109283447266,60.77598571777344
13293,-22.814186096191406,-92.61360168457031,8.833256721496582
21484,-33.83686828613281,-85.99591827392578,0.574088990688324
21412,-44.233158111572266,-66.07525634765625,1.0938509702682495
13812,-38.783538818359375,-77.47090148925781,15.3399658203125
13913,-44.208740234375,-68.42340087890625,14.753168106079102
14457,-44.324462890625,-65.62544250488281,25.628522872924805
16281,-53.93263244628906,-6.42741584777832,20.459232330322266
15804,-59.559791564941406,-13.506071090698242,13.676557540893555
15860,-57.319061279296875,-19.740192413330078,29.280441284179688
17664,-39.51321792602539,17.876014709472656,30.999420166015625
17079,-39.359588623046875,36.50328826904297,18.72949981689453
16965,-54.1424560546875,14.273900985717773,8.079316139221191
17197,-45.779273986816406,19.566682815551758,23.033689498901367
17375,-57.3917121887207,2.893646001815796,7.514111042022705
17489,-50.32036590576172,5.159964084625244,14.464933395385742
17681,-40.695831298828125,3.9280269145965576,24.22003173828125
17923,-53.21179962158203,6.8491668701171875,33.54176712036133
18591,-30.935609817504883,57.731849670410156,-4.593017101287842
19619,-5.411308765411377,26.586111068725586,-12.060442924499512
19453,-7.4411091804504395,16.746278762817383,-21.72515106201172
18563,-29.274980545043945,37.2136344909668,-8.315179824829102
19014,-14.469234466552734,16.513427734375,-23.421239852905273
19226,-11.939200401306152,36.94292449951172,-20.154258728027344
19351,-3.145066976547241,47.885955810546875,-24.38405990600586
19835,-59.1964225769043,-20.674915313720703,-18.710519790649414
29262,-55.758365631103516,-5.778738975524902,-26.580284118652344
19679,-34.83738708496094,20.792491912841797,-37.219093322753906
24516,-27.82647705078125,-31.40958595275879,-17.129701614379883
19713,-28.19194793701172,-18.995933532714844,-29.64192008972168
24539,-25.34380531311035,4.5023369789123535,-29.006088256835938
22746,-29.642601013183594,-63.61573791503906,-14.91971492767334
21948,-48.950828552246094,-58.236061096191406,-9.981708526611328
20553,-49.692562103271484,-46.5168571472168,-19.707921981811523
20611,-41.148616790771484,-10.021313667297363,-31.020374298095703
21139,-27.279096603393555,-37.17167663574219,-19.425418853759766
21807,-10.934011459350586,-101.13727569580078,11.712154388427734
22228,-17.795000076293945,-99.60260772705078,-7.518884181976318
23326,-8.876592636108398,-91.12023162841797,2.7199409008026123
22952,-7.498416900634766,-82.045654296875,-6.3510541915893555
22424,-24.1729679107666,-84.24407958984375,-13.200702667236328
23448,-3.2069880962371826,-65.3495101928711,5.834713935852051
23890,-20.648496627807617,-72.40618133544922,7.657748222351074
23961,-16.329387664794922,-67.63682556152344,8.224883079528809
24870,-30.717512130737305,-12.883566856384277,-23.122861862182617
24989,-34.361026763916016,-20.153600692749023,-17.189130783081055
26679,-33.076358795166016,52.85881042480469,20.07485580444336
25778,-7.199940204620361,59.53647232055664,10.539129257202148
25638,-23.982345581054688,52.06785202026367,12.493545532226562
26327,-4.666210174560547,53.62883758544922,38.278499603271484
26914,-18.035343170166016,36.272193908691406,39.398433685302734
27358,-26.972864151000977,27.117023468017578,38.91542053222656
28014,-38.6828727722168,5.209438800811768,52.06393814086914
27951,-39.01200485229492,10.132155418395996,41.79620361328125
28599,-47.95676040649414,-12.74163818359375,1.516342043876648
28765,-55.09538650512695,8.139610290527344,-12.027303695678711
29018,-61.083763122558594,-9.925585746765137,-1.8119779825210571
29248,-49.879695892333984,-13.063132286071777,-11.044102668762207
29456,-50.51894760131836,-20.71160125732422,-10.962658882141113
41363,14.171796798706055,-45.288291931152344,35.89235305786133
33310,16.678112030029297,-31.41462516784668,71.542236328125
34741,44.6418571472168,-10.573630332946777,38.476009368896484
56327,8.423761367797852,25.018875122070312,60.28797912597656
41679,33.87936019897461,-71.22634887695312,22.403133392333984
36392,56.0848388671875,-39.907901763916016,43.62506866455078
36387,63.87498474121094,-37.75652313232422,-8.476247787475586
